"ID","country","q3","Q10A","Q10B","Q24B","Q27A","Q27B","Q27C","Q27D","Q27E","Q27F","q56"
"463","19","3","2","2","1","1","2","1","1","1","1","1"
"464","19","4","3","3","2","1","2","1","2","1","2","2"
"465","19","2","1","8","1","2","1","1","1","1","1","3"
"466","19","4","1","9","1","1","2","1","2","1","1","1"
"467","19","2","2","1","2","2","1","2","1","2","1","2"
"468","19","3","1","3","2","2","1","2","1","8","2","1"
"469","19","3","2","3","2","2","2","1","1","2","2","2"
"470","19","3","1","4","1","2","1","2","1","2","2","2"
"471","19","2","1","2","1","2","2","2","1","1","1","8"
"472","19","2","2","3","2","2","1","1","2","1","9","2"
"473","19","1","1","2","1","2","1","2","1","1","2","2"
"474","19","2","1","2","1","1","1","2","1","1","2","2"
"475","19","2","2","3","2","2","1","2","1","1","1","1"
"476","19","3","1","3","2","2","1","2","1","1","2","1"
"477","19","2","1","2","2","1","1","1","1","1","1","2"
"478","19","1","2","3","1","2","1","2","1","1","2","2"
"479","19","1","1","2","1","2","1","2","1","1","2","1"
"480","19","3","2","4","1","1","1","1","1","1","1","2"
"481","19","2","1","2","2","2","1","2","1","1","2","3"
"482","19","3","1","9","1","2","1","2","1","1","1","1"
"483","19","3","1","3","1","2","2","1","1","1","2","2"
"484","19","4","1","3","2","2","1","2","1","2","2","2"
"485","19","4","8","4","2","8","8","8","1","1","2","3"
"486","19","3","1","3","2","2","1","2","1","1","1","1"
"487","19","4","9","2","2","2","1","1","1","1","1","2"
"488","19","4","2","4","2","2","2","1","1","2","1","2"
"489","19","2","9","4","1","2","1","1","1","1","2","1"
